name,latitude,longitude,address,phone,status,category,image_url
BIM Stores,33.5275677,-7.6496941,,,,3.7(510),https://lh3.googleusercontent.com/gps-cs-s/AC9h4nowy4IRsT-yEA6pIF_gPCsjWlK1lG7-dYgv_TLBGc9f6-XuUyuVUdO-miul145Efg0cJESlMRo_NjO2_HGboXSgFXpOC8RuoDAcumRX-xb0Tuns4KAUbWLHYZPp2e_QSiWkRmJCrw=w122-h92-k-no
Bim sidi Youssef Ben ali,31.6221705,-7.9706804,,,,4.8(4),https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqca6QvuxDjVw01WOFfJVZ34VxL3qxaKp7KPKHRQ1iYZbdXXTnTKfZoZMApo6FLCeQ2pIiVcz4Or8G4S5V2CNn6x8r0DTsvbbo5M_XwsqMBy63Lm9IlcUckwSK2Iqd53WfhQI6-ig=w80-h106-k-no
BIM,33.602482,-7.481015,,,,4.0(256),https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrANOzZditrP08KqW4jF4Cea7WsUHT4iweZEAoCJTl22K1cE0zK1UHv-NXR7s32EOGkzaz1S0E4fB-Om4xy0gZ6p7rhSKfq1E7vXtm3Ltbq34RHBDrznW6qRMvioidB_3qtuMY1xQ=w80-h142-k-no
BIM sidi slimane,34.2629978,-5.9378175,,+212 652-403468,,3.8(142),https://lh3.googleusercontent.com/gps-cs-s/AC9h4nonm0xVHvZtvHxlAdv1p10NNv0Vly4SkEvwiX3hTySvI4yC_e--nodxHktl5luzl87oTFVlRBgzHy_EZJVoX6jig4B0-cdV7MwM9_PFKdUWKDkEWFD43ql65PX8LKUbkqM3dWew=w174-h92-k-no
BIM Stores,33.8325612,-4.8295003,,+212 657-126870,,4.0(90),
BIM Stores,33.8223514,-4.8354844,,,,3.9(103),
BIM Stores,35.6263388,-5.2747573,,,,4.0(37),
Margotine martil mantjate manzlya watjmilya....,35.6289282,-5.2832982,,+212 649-432767,,4.1(19),
بيم,35.6146673,-5.2801052,,,,3.5(16),
BIM Stores,33.7225176,-7.3366267,,,,4.8(17),
BIM,33.6997184,-7.3804834,,+212 5226-79292,,4.0(154),
BIM Maroc Sa_Région Mohammedia,33.656066,-7.4140344,,,,5.0(1),
BIM Stores,33.6970638,-7.3889494,,,,4.0(1),
BIM Stores,33.6638542,-7.3983157,,,,3.0(1),
BIM Stores,32.5080659,-6.6812485,,,,3.7(63),
BIM,33.602482,-7.481015,,,,4.0(256),
BIM Qadi Ayad بيم,33.6180155,-7.4804583,,,,3.8(176),
Bim store,33.595543,-7.5004746,,+212 779-067236,,4.3(3),
BIM Résidence Yacine,33.6180761,-7.4944095,,,,5.0(1),
BIM Stores,33.6799486,-7.3930562,,,,3.4(9),
BIM hiba 4 en face terrain ajas,33.6030131,-7.4853584,,,,4.1(14),
بيم,33.5620749,-7.5834084,,,,4.0(29),
BIM بيم,33.5189053,-7.6444099,,,,3.7(73),
Bim بيم,33.5924631,-7.6359501,,,,4.7(6),
BIM بيم,33.5440266,-7.6161127,,,,3.3(6),
Bim بيم,33.551395,-7.6785336,,,,3.9(112),
BIM Stores,33.5318753,-7.6737695,,+212 5224-48877,,3.9(161),
BIM Stores,33.5673012,-7.6697539,,,,4.3(21),
Bim/résidence Laarassi,33.5679658,-7.5937327,,+212 659-321585,,4.1(64),
BIM Stores,33.5662214,-7.6109335,,,,4.1(154),
BIM.,33.5765198,-7.6266015,,+212 777-777777,,4.8(5),
BIM بيم,33.5817809,-7.6156507,,,,4.0(22),
Bim بيم,33.525664,-7.6609089,,,,3.9(84),
BIM بيم,33.594016,-7.6247022,,,,3.9(66),
BIM STORE HAY ENNOUR,33.5490096,-7.5571329,,,,5.0(1),
Bim store,33.5931499,-7.5912807,,,,4.1(9),
BIM France Ville,33.5685309,-7.6275582,,,,3.7(68),
BIM بيم,33.5891653,-7.6309679,,,,4.0(55),
BIM,33.5746739,-7.6299727,,,,3.7(59),
BIM hlioua,33.602312,-7.5367758,,,,3.8(170),
BIM,33.5575165,-7.5432974,,,,3.8(11),
BIM,33.6066565,-7.6286698,,,,4.3(12),
Bim بيم,33.5692741,-7.6131324,,,,4.0(25),
Bim Hilal Sakan,33.569867,-7.5467285,,,,4.2(26),
Bim stores Rue Montmartre,33.5960874,-7.5887587,,,,5.0(1),
BIM,33.5906501,-7.5795022,,,,4.0(9),
BIM Stores,33.572696,-7.6425593,,+212 639-473529,,3.9(38),
بيم BIM,33.5704535,-7.625455,,+212 5226-77480,,4.0(31),
BIM Stores,33.5944919,-7.6062118,,,,3.8(74),
Bim بيم,33.5324744,-7.6818347,,+212 661-134901,,4.4(14),
BIM بيم,33.5632493,-7.6690176,,,,4.0(41),
Bim,33.5593203,-7.6822574,,,,4.0(28),
Bim Jnane Califonie,33.5277316,-7.6130775,,,,3.8(151),
BIM بيم,33.5641464,-7.6733772,,,,3.8(82),
BIM,33.5940156,-7.6201278,,,,4.0(102),
Bim,33.576453,-7.6042993,,,,5.0(1),
BIM بيم كاسيفكاك,33.6160736,-7.5390334,,,,3.9(68),
BIM بيم,33.5235506,-7.6803774,,,,4.2(10),
BIM,33.5901001,-7.6337337,,,,4.4(8),
BIM Saad El Khir,33.5652322,-7.6842154,,+212 654-481678,,4.1(95),
Bim Belvédère,33.5849991,-7.5890465,,,,4.0(1),
BIM,33.5568056,-7.5959683,,+212 649-345457,,4.1(62),
BIM,33.5924239,-7.6433782,,,,2.8(4),
BIM بيم,33.5816687,-7.6360748,,+212 632-393631,,4.1(46),
BIM d’agadir,33.5834992,-7.6177303,,,,4.1(29),
BIM Stores,33.5867102,-7.5030369,,,,3.8(15),
BIM بيم,33.583355,-7.6428087,,+212 620-201152,,4.2(23),
Bim 1287,33.5326333,-7.59077,,,,3.3(3),
BIM بيم,33.5522975,-7.6027523,,+212 669-922090,,3.9(35),
Bim Hay Mahata,33.5873279,-7.5949517,,,,超級市場,
BIM بيم,33.5752541,-7.6500801,,,,4.1(25),
بيم BIM,33.5712159,-7.5964933,,,,3.7(3),
BIM Rue Qortobi,33.5938491,-7.5988849,,,,3.9(21),
BIM,33.6038159,-7.4892861,,+212 771-333598,,3.9(191),
Bim oasis,33.5609228,-7.6427882,,,,3.8(59),
BIM Stores,33.593075,-7.6037711,,+212 627-640254,,2.0(3),
BIM بيم,33.5146895,-7.6452881,,,,4.0(147),
BIM,33.5184528,-7.650154,,,,5.0(4),
Bim,33.5321288,-7.6044146,,,,超級市場,
BIM بيم Al Mounawar,33.5262322,-7.6075423,,,,3.5(10),
Bim بيم,33.5997643,-7.574519,,,,3.0(1),
BIM Stores,34.2196875,-5.7099375,,+212 661-081359,,3.9(296),
BIM,34.9346384,-2.3314378,,,,5.0(4),
BIM,34.9201026,-2.3268404,,,,3.3(7),
BIM Stores,33.5613707,-7.533673,,,,4.0(142),
BIM Hay Ouahda,33.5452121,-7.5457821,,,,4.4(13),
BIM,32.3454609,-8.8451828,,,,4.3(3),
BIM Store,31.6480465,-8.0009464,,+212 767-149526,,4.0(292),
بيم,35.0019076,-5.9101081,,,,3.4(22),
BIM STORE Abraj Dubai,35.1884318,-6.1481871,,,,平價超級市場,
BIM Stores,35.182539,-6.1423155,,,,3.9(139),
BIM sidi slimane,34.2629978,-5.9378175,,+212 652-403468,,3.8(142),
BIM Store Demnate,31.7331013,-7.0045872,,,,4.8(11),
BIM (Discount Minimarket),31.6280722,-7.9938824,,,,4.0(318),
Bim store,31.6484514,-7.9947117,,,,2.5(2),
BIM Stores,32.6064415,-6.280152,Avenue Moha Ou Hammou Zayani،,,,4.1(25),
BIM Stores,35.1891141,-6.1550199,,,,3.9(170),
BIM KOREA بيم القريعة,33.5595141,-7.5976917,,+212 660-512581,,4.1(10),
Bim bab doukala,31.669767,-7.9821819,,,,5.0(1),
BIM STORE CHAABANE,35.1660351,-6.1456662,Avenue moulay Driss,,,超級市場,
BIM,33.7650438,-5.4863639,,,,4.0(114),
BIM Store Zohour Al Atlas,32.3230182,-6.3595347,,,,市場,
BIM El Attaouia,31.8297766,-7.3139125,,,,4.1(68),
Bim hay haddad,35.7405979,-5.8059663,,,,3.5(6),
BIM,32.0801242,-8.6276209,,,,3.0(2),
BIM,32.062824,-7.4057739,,,,3.9(166),
BİM Stores,31.6252987,-8.0661743,,,,4.2(82),
BIM بيم,31.640236,-8.0762731,,,,3.8(25),
Bim Mabrouka,31.654279,-8.0330256,,,,4.2(169),
BIM Stores,32.054619,-7.4080456,,,,4.2(36),
Bim sidi Youssef Ben ali,31.6221705,-7.9706804,,,,4.8(4),
BIM السوق الممتاز,31.5642563,-7.6630943,,,,4.0(116),
بيم,32.5063471,-7.1941398,,,,3.7(57),
BIM Stores,31.5321946,-8.770373,,,,3.6(34),
BIM,33.5266361,-7.7520444,,+212 637-560049,,4.4(41),
BIM بيم,31.6859858,-8.0669864,,,,3.9(57),
BIM STORES,33.3709545,-7.9984418,"Résidence Khaoula, 144 Avenue Hassan II",+212 779-899809,,超級市場,
BIM Stores,33.3711567,-7.9929933,,,,3.7(148),
BİM Stores,31.6179727,-8.0619868,,,,4.0(250),
BIM (Discount Minimarket),31.6188763,-7.988663,,+212 5233-12598,,4.6(31),
BIM,31.5896609,-8.0338316,,,,5.0(3),
Bim rizana,33.8669477,-5.5761023,,,,便利店,
BIM Rouidate,31.6420018,-8.0100662,,,,4.0(128),
BIM Stores,31.6619965,-7.9984718,,,,3.8(86),
BIM بيم,31.6686728,-8.0288727,,,,4.0(157),
BIM بيم,31.655166,-7.990708,,,,3.8(58),
Bim بيم,31.6760751,-8.0204621,,,,3.9(187),
BİM بيم,31.6344006,-8.0599912,"I N90 C, 40140, Avenue Al Massira",,,3.9(274),
BIM بيم,31.6725097,-8.0387432,,,,4.3(33),
BIM,31.5805857,-8.0538808,,+212 631-178840,,4.0(371),
BIM بيم,31.6455817,-7.9793036,,,,4.2(127),
BIM بيم,31.6375843,-8.0190254,,+212 5226-79292,,4.0(123),
BIM,31.6247084,-8.0294046,,,,3.9(153),
BIM,31.630328,-8.0720368,,,,3.5(50),
bim,31.6649457,-8.0105658,,,,5.0(3),
Bim iziki,31.6144476,-8.0556825,,,,4.1(89),
Bim,31.6127245,-7.9726502,,,,4.1(72),
BIM,31.5969134,-8.0199847,,+212 642-951825,,4.6(5),
BIM بيم,31.6417456,-8.0475454,,,,3.9(82),
BIM,31.5874129,-8.0420391,,,,4.1(66),
BIM,31.5951845,-8.0284032,,,,3.9(244),
BIM,31.5850334,-8.0553187,,,,4.3(23),
Bim Store,31.6591917,-8.0032125,,,,雜貨店,
BIM,31.5988883,-8.039548,,,,4.1(13),
BIM,31.5961303,-8.0599291,,,,4.5(14),
Bim,31.6779006,-8.0264806,,,,2.7(3),
BIM,31.5941321,-8.0364018,,,,3.0(1),
BİM بيم,31.6319315,-8.0637055,,,,2.3(3),
Bim market,34.2377196,-3.3467136,,,,便利店,
Bim Store,33.5350262,-7.5862742,Bd de Smara,,,5.0(1),
BIM Stores,33.5275677,-7.6496941,,,,3.7(510),
BIM STORES,33.5093826,-7.670142,,,,4.0(13),
BiM Stores,33.5846611,-7.6112865,,,,3.7(110),
BIM بيم,33.5973534,-7.6423422,,,,3.8(61),
BIM,33.5996327,-7.6373512,,,,4.0(3),
BIM بيم,33.5833758,-7.6221886,,+212 655-228678,,4.0(31),
BIM Stores,33.5866843,-7.5778813,,+212 629-626524,,3.9(145),
Bim بيم,33.5894167,-7.6137251,,,,3.9(112),
BIM بيم,33.5365225,-7.672865,,,,3.9(116),
Bim,33.5517133,-7.7027829,,,,3.7(33),
BIM,33.592741,-7.6401362,,,,4.8(4),
BIM Roudani,33.5847659,-7.6307092,,,,4.1(28),
BIM Stores,33.5336242,-7.6144944,,,,3.4(40),
Bim,33.5181065,-7.6772805,,,,4.3(3),
BIM,33.5713505,-7.5347509,,,,4.0(44),
Bim بيم,33.5369402,-7.6842063,,,,3.9(52),
BIM Mehdi Ben Barka,33.6020035,-7.6438622,,,,4.0(120),
BIM Stores,33.5695031,-7.6849892,,,,3.9(49),
Bim بيم,33.5406695,-7.686653,,,,3.8(176),
BIM بيم,33.5661109,-7.6939546,,,,3.9(110),
BIM,33.5702487,-7.6191168,,,,5.0(5),
BIM,33.6006461,-7.6322893,,,,3.4(5),
Bim,33.5767416,-7.6344628,"H9G8+M6V Ang, Resid. Bneber, Avenue Stendahl, Rue Georges Sand",,,5.0(1),
BIM Stores,33.5866054,-7.5986368,,,,3.9(119),
BIM بيم,33.5372356,-7.6024268,,,,4.3(14),
Bim بيم,33.5771072,-7.6465069,,,,3.8(37),
BIM EL WIAME,33.5589584,-7.6750358,,,,4.3(23),
Bim بيم Lot Mounia,33.5292428,-7.6018866,,,,4.2(16),
BIM Store Arrahma,33.562456,-7.5375554,,,,3.9(12),
BIM بيم,33.5630451,-7.647509,,+212 607-686891,,3.7(44),
BIM بيم,33.5972905,-7.6345557,,,,3.7(17),
BIM STORES VIP,33.5871082,-7.6165412,,,,4.0(1),
bim,33.607757,-7.5408194,,,,商店,
BIM,33.5795615,-7.6273597,,,,便利店,
Bim market,33.567513,-7.6424374,,+212 663-277201,,2.0(3),
BIM,33.5074636,-7.653092,,,,5.0(2),
BIM,33.5626648,-7.6385792,,,,商店,
BIM,33.576455,-7.6170491,,,,3.5(11),
BIM Ibnou Soufi,33.5794024,-7.6348212,,+212 773-704854,,3.8(13),
Bim,33.6069924,-7.565315,,,,1.0(1),
BIM بيم,33.5840433,-7.5989776,,,,3.8(9),
BIM,33.5418826,-7.6815819,Bd Haj Fateh,,,便利店,
BIM Stores,34.2275846,-3.9894754,,+212 606-709006,,4.1(23),
BIM Stores,34.2142792,-4.0099759,,,,4.6(9),
BIM,32.8866268,-6.9044858,Bd Mohammed VI,,,4.0(41),
BIM,32.8948623,-6.9198178,,,,4.1(65),
BIM,32.8898534,-6.915731,,,,4.1(19),
BIM MAGASIN,32.8844485,-6.9109142,,,,購物中心,
BIM Stores,34.6818001,-1.9429259,,,,3.8(18),
BIM Stores,34.6758235,-1.9239344,,,,4.2(18),
بيم,34.6575249,-1.8974514,,+212 720-332938,,3.6(29),
Bim,34.672071,-1.8598414,,,,3.0(2),
Bim el jaouhara,34.666282,-1.9303687,,,,5.0(1),
Bim Sid El mokthar,34.688684,-1.9151381,,+212 700-557682,,3.7(10),
BIM Stores,34.6932718,-1.9188537,,,,5.0(2),
BIM Stores,34.6709651,-1.8939446,,,,3.9(48),
BIM BOUDIR,34.6860688,-1.9088975,,+212 766-938281,,3.4(25),
Bim hay essalam,34.6593513,-1.9218497,,,,4.3(9),
Bim jakarta,34.6752352,-1.9109024,,,,商店,
BIM Stores,34.6939165,-1.8830455,,,,3.0(7),
BIM,34.6593503,-1.9033524,,,,商店,
BIM,34.67698,-1.88543,,,,雜貨店,
Bim sidi Yahya,34.6650893,-1.8907307,,,,3.5(2),
Bim si Lakhdar,34.6873895,-1.9316083,,,,超級市場,
Bim el Aounia,34.691721,-1.891769,,,,超級市場,
BIM Makhlouf,33.3806752,-7.534585,,,,3.8(289),
BIM بيم,33.4563921,-7.6499981,,,,3.9(169),
Bim,33.4649372,-7.6593043,,,,4.1(64),
BIM El Izdihar,33.4607896,-7.663815,,+212 663-445568,,2.6(5),
Bim Andalous prestige,33.4683907,-7.6517848,,,,5.0(1),
Siège Ste BIM STORES,33.4251187,-7.6400624,,+212 631-310503,,3.6(5),
BIM 17,33.4225664,-7.6774814,,+212 775-601569,,便利店,
Bim MIRABEL,33.4661031,-7.6633992,,,,4.0(1),
Bim,33.4647436,-7.644755,,,,超級市場,
BIM بيم,33.4313238,-7.6393443,,,,3.9(81),
Mdiq,35.6838496,-5.3287416,,,,3.9(15),
Big chop,35.6841437,-5.3245521,,,,商店,
Outlet Said,35.6830256,-5.3219888,,+212 673-646877,,2.0(1),
BIM Stores,31.1805533,-8.8555096,,,,5.0(4),
BIM Stores,32.3463136,-6.3504003,,,,3.6(121),
بيم,32.3486985,-6.3591551,,,,4.5(8),
BIM la CNSS,32.3395202,-6.3453557,,,,3.9(222),
BIM Stores,32.34019,-6.3656048,,,,4.2(6),
BIM Stores,32.3236381,-6.3657742,,,,3.0(4),
BIM El Hadika,34.0556693,-5.0286562,,,,3.9(192),
Supmarché bim,34.0079436,-4.9689273,,+212 640-888370,,3.7(24),
Bim Narjis.,34.0079591,-4.9689035,,,,3.8(4),
BIM Stores,32.6475149,-8.4160812,,,,3.6(56),
Bim Essaada,32.6481997,-8.4326862,,,,4.2(9),
BIM Stores AL AHRAM,33.6179657,-7.1254013,,,,超級市場,
